localized_name,AVG Damage Received,count,winrate,winrate_wilson,sum,min,max,stddev,AVG Damage Dealt,count,winrate,winrate_wilson,sum,min,max,stddev
Invoker,14539.968750000000,32,0.5,0.336306143168594,540283,5891,40552,7744.889857853516,16883.843750000000,32,0.5,0.336306143168594,540283,5891,40552,7744.889857853516
Silencer,14536.424242424242,33,0.363636363636364,0.221869661679599,431576,5651,42961,8093.911561860070,13078.060606060606,33,0.363636363636364,0.221869661679599,431576,5651,42961,8093.911561860070
Crystal Maiden,14534.808823529412,68,0.544117647058823,0.426563977842934,1049386,5107,49512,7704.627028590853,15432.147058823529,68,0.544117647058823,0.426563977842934,1049386,5107,49512,7704.627028590853
Brewmaster,14497.250000000000,8,0.125,0.0224169088632962,90825,4606,33601,9901.284944570145,11353.125000000000,8,0.125,0.0224169088632962,90825,4606,33601,9901.284944570145
Shadow Demon,14456.854166666667,144,0.527777777777778,0.446578577586238,1347284,1898,25586,4973.890636563199,9356.1388888888888889,144,0.527777777777778,0.446578577586238,1347284,1898,25586,4973.890636563199
Elder Titan,14136.207317073171,82,0.560975609756098,0.453227270572399,1012961,4557,30372,5718.372837127382,12353.182926829268,82,0.560975609756098,0.453227270572399,1012961,4557,30372,5718.372837127382
Io,13966.565217391304,46,0.630434782608696,0.485998331491848,443126,3013,37505,7298.526320975421,9633.1739130434782609,46,0.630434782608696,0.485998331491848,443126,3013,37505,7298.526320975421
Nature's Prophet,13897.214285714286,14,0.571428571428571,0.325902669028694,270479,8174,31488,7247.125450976946,19319.928571428571,14,0.571428571428571,0.325902669028694,270479,8174,31488,7247.125450976946
Skywrath Mage,13787.500000000000,6,0.666666666666667,0.299988321341529,144374,10601,56754,16456.49428848,24062.333333333333,6,0.666666666666667,0.299988321341529,144374,10601,56754,16456.49428848
Witch Doctor,13694.580645161290,31,0.419354838709677,0.264153030735493,367047,6420,22470,3732.671989425961,11840.225806451613,31,0.419354838709677,0.264153030735493,367047,6420,22470,3732.671989425961
Lion,13591.666666666667,21,0.523809523809524,0.323692179002668,190254,2578,15083,2929.771870689886,9059.7142857142857143,21,0.523809523809524,0.323692179002668,190254,2578,15083,2929.771870689886
Templar Assassin,13534.515151515152,33,0.666666666666667,0.4960758179995,968004,3805,56730,11479.32666005,29333.454545454545,33,0.666666666666667,0.4960758179995,968004,3805,56730,11479.32666005
Clinkz,13512.142857142857,7,0.285714285714286,0.0822171657090155,237508,10798,71528,22469.28092392,33929.714285714286,7,0.285714285714286,0.0822171657090155,237508,10798,71528,22469.28092392
Shadow Shaman,13500.259259259259,81,0.506172839506173,0.399505970875362,847635,3671,31297,4532.232348535445,10464.629629629630,81,0.506172839506173,0.399505970875362,847635,3671,31297,4532.232348535445
Techies,13460.666666666667,3,0,0,103672,20303,44109,12580.44968725,34557.333333333333,3,0,0,103672,20303,44109,12580.44968725
Disruptor,13357.090909090909,22,0.363636363636364,0.197329727726079,220733,4391,20184,3935.743523708777,10033.3181818181818182,22,0.363636363636364,0.197329727726079,220733,4391,20184,3935.743523708777
Winter Wyvern,13315.318181818182,22,0.545454545454545,0.346594732890416,293153,7171,22000,4306.840674968961,13325.136363636364,22,0.545454545454545,0.346594732890416,293153,7171,22000,4306.840674968961
Lycan,13312.5000000000000000,2,0,3.80109225083935e-17,21393,7661,13732,4292.845268583530,10696.5000000000000000,2,0,3.80109225083935e-17,21393,7661,13732,4292.845268583530
Oracle,13230.301886792453,53,0.490566037735849,0.361240293560395,425989,1987,17241,3205.346990719471,8037.5283018867924528,53,0.490566037735849,0.361240293560395,425989,1987,17241,3205.346990719471
Terrorblade,13114.615384615385,13,0.615384615384615,0.355224809722685,301319,7797,44698,11463.71498496,23178.384615384615,13,0.615384615384615,0.355224809722685,301319,7797,44698,11463.71498496
Lone Druid,13018.000000000000,11,0.181818181818182,0.0513666006710006,164157,3928,29924,9087.104635391047,14923.363636363636,11,0.181818181818182,0.0513666006710006,164157,3928,29924,9087.104635391047
Pugna,12924.789473684211,19,0.473684210526316,0.273295054874485,488673,15483,43602,7608.966649147324,25719.631578947368,19,0.473684210526316,0.273295054874485,488673,15483,43602,7608.966649147324
Sniper,12860.809523809524,21,0.523809523809524,0.323692179002668,844104,17976,100711,19338.86954186,40195.428571428571,21,0.523809523809524,0.323692179002668,844104,17976,100711,19338.86954186
Rubick,12696.490740740741,108,0.518518518518518,0.425276980692122,1583571,3843,28531,5438.769934561522,14662.694444444444,108,0.518518518518518,0.425276980692122,1583571,3843,28531,5438.769934561522
Medusa,12381.185185185185,27,0.518518518518518,0.339853245862104,665649,5315,137156,24670.29154672,24653.666666666667,27,0.518518518518518,0.339853245862104,665649,5315,137156,24670.29154672
Lich,12360.600000000000,10,0.3,0.107789287486212,88152,3004,16281,3761.563646499507,8815.2000000000000000,10,0.3,0.107789287486212,88152,3004,16281,3761.563646499507
Grimstroke,12330.880341880342,117,0.444444444444444,0.357595707639753,1277606,2342,27844,5243.851115189381,10919.709401709402,117,0.444444444444444,0.357595707639753,1277606,2342,27844,5243.851115189381
Mirana,12178.340425531915,47,0.51063829787234,0.372422175893729,798442,7101,42096,8227.974732626496,16988.127659574468,47,0.51063829787234,0.372422175893729,798442,7101,42096,8227.974732626496
Warlock,12081.061538461538,65,0.461538461538462,0.345901371499367,836614,2926,45300,7717.633679382212,12870.984615384615,65,0.461538461538462,0.345901371499367,836614,2926,45300,7717.633679382212
Chen,12019.822580645161,62,0.612903225806452,0.48847616205781,333289,1955,8767,1521.915167859137,5375.6290322580645161,62,0.612903225806452,0.48847616205781,333289,1955,8767,1521.915167859137
Dark Willow,11665.583333333333,48,0.604166666666667,0.463101545969351,584631,3578,26637,5625.033297891988,12179.812500000000,48,0.604166666666667,0.463101545969351,584631,3578,26637,5625.033297891988
Phoenix,11558.428571428571,21,0.476190476190476,0.283437122967629,416152,7181,40124,8265.621343279414,19816.761904761905,21,0.476190476190476,0.283437122967629,416152,7181,40124,8265.621343279414
Ancient Apparition,11518.095238095238,105,0.523809523809524,0.429136703975403,1154039,3210,24807,4428.630780720085,10990.847619047619,105,0.523809523809524,0.429136703975403,1154039,3210,24807,4428.630780720085
Enigma,11077.384615384615,65,0.523076923076923,0.403794204022763,969880,5135,33834,6965.909187269704,14921.230769230769,65,0.523076923076923,0.403794204022763,969880,5135,33834,6965.909187269704
Tinker,10137.3636363636363636,11,0.454545454545455,0.21270957543988,482611,27601,69698,12925.92357312,43873.727272727273,11,0.454545454545455,0.21270957543988,482611,27601,69698,12925.92357312
Keeper of the Light,9940.6666666666666667,6,0.166666666666667,0.0300525858717303,54524,2571,15883,4666.029304094292,9087.3333333333333333,6,0.166666666666667,0.0300525858717303,54524,2571,15883,4666.029304094292
Visage,9811.6000000000000000,5,0.6,0.230719932208837,63934,5213,23591,8244.235452726954,12786.800000000000,5,0.6,0.230719932208837,63934,5213,23591,8244.235452726954
