hero_id,total,picks,bans,first_pick,first_ban,second_pick,second_ban,third_pick,third_ban,winrate,pick_winrate,ban_winrate
34,14,9,5,0,0,1,4,8,1,0.571428571428571,0.555555555555556,0.6
12,14,11,3,0,0,0,2,11,1,0.571428571428571,0.454545454545455,1
4,14,6,8,0,0,1,7,5,1,0.428571428571429,0.5,0.375
59,14,6,8,0,0,0,4,6,4,0.642857142857143,0.333333333333333,0.875
31,11,10,1,0,0,9,1,1,0,0.363636363636364,0.3,1
22,9,5,4,0,1,1,0,4,3,0.222222222222222,0,0.5
92,9,5,4,2,2,1,1,2,1,0.555555555555556,0.6,0.5
51,9,5,4,0,1,1,1,4,2,0.222222222222222,0,0.5
40,9,8,1,0,0,2,0,6,1,0.222222222222222,0.25,0
47,9,6,3,0,0,0,2,6,1,0.444444444444444,0.333333333333333,0.666666666666667
56,8,7,1,0,0,1,1,6,0,0.375,0.285714285714286,1
20,8,8,0,0,0,6,0,2,0,0.375,0.375,
81,8,5,3,0,0,0,2,5,1,0.625,0.6,0.666666666666667
90,7,5,2,0,0,4,2,1,0,0.285714285714286,0.2,0.5
108,6,6,0,0,0,1,0,5,0,0.5,0.5,
14,6,5,1,0,1,2,0,3,0,0.333333333333333,0.2,1
77,6,2,4,0,0,0,1,2,3,0.333333333333333,0,0.5
101,6,6,0,0,0,4,0,2,0,0.666666666666667,0.666666666666667,
62,6,4,2,2,1,1,1,1,0,0.166666666666667,0,0.5
32,5,5,0,0,0,1,0,4,0,0.6,0.6,
6,4,3,1,0,0,0,0,3,1,0.25,0,1
48,2,2,0,0,0,2,0,0,0,0.5,0.5,
