localized_name,AVG Deaths,count,winrate,winrate_wilson,sum,min_d,max_d,stddev,AVG Kills,count,winrate,winrate_wilson,sum,min_k,max_k,stddev,AVG Assists,count,winrate,winrate_wilson,sum,min_a,max_a,stddev
Batrider,5.944444444,36,0.444444444,0.295410299,444,0,28,7.282071919,3.527777778,36,0.444444444,0.295410299,444,0,28,7.282071919,12.33333333,36,0.444444444,0.295410299,444,0,28,7.282071919
Treant Protector,5.88,25,0.68,0.484099137,326,4,24,5.2,2.12,25,0.68,0.484099137,326,4,24,5.2,13.04,25,0.68,0.484099137,326,4,24,5.2
Slardar,5.727272727,11,0.636363636,0.353796777,146,3,20,5.728715547,5.363636364,11,0.636363636,0.353796777,146,3,20,5.728715547,13.27272727,11,0.636363636,0.353796777,146,3,20,5.728715547
Drow Ranger,5.666666667,3,0,0,36,8,20,6.92820323,3,3,0,0,36,8,20,6.92820323,12,3,0,0,36,8,20,6.92820323
Skywrath Mage,5.5,6,0.666666667,0.299988321,76,5,23,7.44759469,6.333333333,6,0.666666667,0.299988321,76,5,23,7.44759469,12.66666667,6,0.666666667,0.299988321,76,5,23,7.44759469
Lina,5.471428571,70,0.4,0.293340806,689,1,31,6.001535345,6.757142857,70,0.4,0.293340806,689,1,31,6.001535345,9.842857143,70,0.4,0.293340806,689,1,31,6.001535345
Nature's Prophet,5.428571429,14,0.571428571,0.325902669,205,3,26,6.697957701,4.857142857,14,0.571428571,0.325902669,205,3,26,6.697957701,14.64285714,14,0.571428571,0.325902669,205,3,26,6.697957701
Elder Titan,5.365853659,82,0.56097561,0.453227271,1314,1,37,7.503045653,2.426829268,82,0.56097561,0.453227271,1314,1,37,7.503045653,16.02439024,82,0.56097561,0.453227271,1314,1,37,7.503045653
Keeper of the Light,5.333333333,6,0.166666667,0.030052586,55,2,20,7.026141663,0.5,6,0.166666667,0.030052586,55,2,20,7.026141663,9.166666667,6,0.166666667,0.030052586,55,2,20,7.026141663
Tiny,5.329896907,97,0.556701031,0.457556262,1136,0,28,5.704455063,5.690721649,97,0.556701031,0.457556262,1136,0,28,5.704455063,11.71134021,97,0.556701031,0.457556262,1136,0,28,5.704455063
Clinkz,5.285714286,7,0.285714286,0.082217166,61,2,15,4.820590756,6.571428571,7,0.285714286,0.082217166,61,2,15,4.820590756,8.714285714,7,0.285714286,0.082217166,61,2,15,4.820590756
Phoenix,5.19047619,21,0.476190476,0.283437123,277,3,28,6.947078865,4.523809524,21,0.476190476,0.283437123,277,3,28,6.947078865,13.19047619,21,0.476190476,0.283437123,277,3,28,6.947078865
Axe,5.186440678,59,0.593220339,0.465931714,613,1,25,5.623279658,6.93220339,59,0.593220339,0.465931714,613,1,25,5.623279658,10.38983051,59,0.593220339,0.465931714,613,1,25,5.623279658
Leshrac,5.157303371,89,0.449438202,0.350322171,767,0,23,4.839481607,6.112359551,89,0.449438202,0.350322171,767,0,23,4.839481607,8.617977528,89,0.449438202,0.350322171,767,0,23,4.839481607
Warlock,5.138461538,65,0.461538462,0.345901371,794,0,28,6.82021881,2.030769231,65,0.461538462,0.345901371,794,0,28,6.82021881,12.21538462,65,0.461538462,0.345901371,794,0,28,6.82021881
Winter Wyvern,5.136363636,22,0.545454545,0.346594733,293,3,27,6.958286349,2.5,22,0.545454545,0.346594733,293,3,27,6.958286349,13.31818182,22,0.545454545,0.346594733,293,3,27,6.958286349
Magnus,5.136363636,44,0.5,0.358315211,522,2,28,5.908570476,1.431818182,44,0.5,0.358315211,522,2,28,5.908570476,11.86363636,44,0.5,0.358315211,522,2,28,5.908570476
Arc Warden,5.0625,16,0.4375,0.230983633,145,2,16,5.19575147,8.5625,16,0.4375,0.230983633,145,2,16,5.19575147,9.0625,16,0.4375,0.230983633,145,2,16,5.19575147
Doom,5.035714286,28,0.428571429,0.265082962,346,2,32,7.439704722,3.321428571,28,0.428571429,0.265082962,346,2,32,7.439704722,12.35714286,28,0.428571429,0.265082962,346,2,32,7.439704722
Pangolier,5.027027027,37,0.405405405,0.263462958,478,3,30,6.759266801,4.513513514,37,0.405405405,0.263462958,478,3,30,6.759266801,12.91891892,37,0.405405405,0.263462958,478,3,30,6.759266801
Mars,5,46,0.5,0.361187017,562,1,30,7.486025628,5.217391304,46,0.5,0.361187017,562,1,30,7.486025628,12.2173913,46,0.5,0.361187017,562,1,30,7.486025628
Enchantress,4.98,50,0.56,0.423057868,527,1,23,4.986553347,6.1,50,0.56,0.423057868,527,1,23,4.986553347,10.54,50,0.56,0.423057868,527,1,23,4.986553347
Rubick,4.962962963,108,0.518518519,0.425276981,1397,0,31,6.826656313,3.324074074,108,0.518518519,0.425276981,1397,0,31,6.826656313,12.93518519,108,0.518518519,0.425276981,1397,0,31,6.826656313
Bristleback,4.935483871,31,0.451612903,0.291614828,292,0,21,6.200936454,4.64516129,31,0.451612903,0.291614828,292,0,21,6.200936454,9.419354839,31,0.451612903,0.291614828,292,0,21,6.200936454
Legion Commander,4.88,25,0.44,0.266653749,274,2,23,6.065476074,4,25,0.44,0.266653749,274,2,23,6.065476074,10.96,25,0.44,0.266653749,274,2,23,6.065476074
